S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,2001 no.,2002 no.,2003 no.,2004 no.,2005 no.,2006 no.,2007 no.,2008 no.,2009 no.,2010 no.,2011 no.,2012 no.,2013 no.,2014 no.,2015 no.,2016 no.,2017 no.,2018 no.,2019 no.,2020 no.,2021 no.,2011-2021 no.,2011-2021 %,Area km2,Population density 2021 persons/km2
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041117,Carlton,9529,10022,10611,11224,11924,12737,13509,14133,14687,14926,15122,15605,16719,17843,18983,20242,20669,20869,21088,20943,17198,2076,13.7,1.8,9456.2
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041118,Docklands,154,926,1913,3089,3779,4152,4592,5040,5402,5780,6196,6802,7988,9170,10444,11832,13923,15439,16375,16678,15942,9746,157.3,2.4,6522.9
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041119,East Melbourne,3731,3859,4243,4460,4495,4555,4806,5055,5202,5272,5238,5280,5333,5374,5411,5475,5495,5409,5413,5378,4962,-276.0,-5.3,2.9,1711.2
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041120,Flemington Racecourse,37,42,46,50,56,63,68,73,79,83,86,87,88,89,90,91,88,86,83,81,78,-8.0,-9.3,1.7,45.6
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041121,Kensington (Vic.),7686,8007,8155,8605,8830,9013,9481,9828,10158,10230,10259,10487,10762,11030,11291,11530,11535,11485,11600,11402,10874,615,6.0,2.1,5064.7
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041124,Parkville,5332,5327,5253,5201,5157,5270,5649,6000,6331,6482,6551,6872,7174,7447,7682,7898,8182,8243,8294,8321,7446,895,13.7,4.0,1838.9
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041125,South Yarra - West,5317,5233,5176,5183,5289,5538,5837,6118,6380,6418,6426,6400,6393,6397,6405,6453,6831,6954,7052,6955,6542,116,1.8,1.5,4353.5
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041503,Melbourne CBD - East,3997,4794,5457,6015,6422,6620,6875,7182,7469,7716,7939,8374,9646,10455,11049,11633,11893,12346,12569,12398,10205,2266,28.5,0.8,12724.4
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041504,Melbourne CBD - North,1657,2282,2969,3389,3930,4008,4349,4738,5286,5900,6401,7880,9591,11297,12895,14230,15810,17150,18394,19192,17439,11038,172.4,0.6,31052.4
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041505,Melbourne CBD - West,1990,2516,2974,3323,3940,4621,5001,5405,5996,6766,7475,8628,10413,11874,13218,14318,16896,18119,18780,18835,16179,8704,116.4,1.0,16096.9
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041506,North Melbourne,9226,9436,9680,10078,10375,10642,11061,11393,11822,12197,12629,13321,14175,14809,15556,16464,17005,17592,17955,18171,15998,3369,26.7,2.4,6597.7
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041508,Southbank (West) - South Wharf,1502,2007,2425,2812,3127,3332,3897,4424,4668,4757,4759,5350,6091,6453,6798,7258,7448,7563,7706,7563,6635,1876,39.4,0.8,7809.6
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041509,Southbank - East,2828,3638,4677,5355,5970,6531,6800,6984,7263,7373,7415,8396,9873,10902,11828,13030,14132,15596,16707,17307,16538,9123,123.0,0.8,20569.7
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,20604,Melbourne City,206041510,West Melbourne - Residential,2413,2503,2570,2748,2903,3072,3216,3419,3587,3678,3732,4091,4461,4835,5223,5642,6082,6595,7087,7561,7619,3887,104.2,0.8,9238.5
